=== LPC1765 向量表 (flash 0x0-0xC0) ===
  0x00 [初始SP] = 0x100029C8
  0x04 [Reset] = 0x000001A9
  0x08 [NMI] = 0x000001B1
  0x0C [HardFault] = 0x000001B3
  0x10 [MemManage] = 0x000001B5
  0x14 [BusFault] = 0x000001B7
  0x18 [UsageFault] = 0x000001B9
  0x1C [保留] = 0xEFFFCC06
  0x20 [保留] = 0x00000000
  0x24 [保留] = 0x00000000
  0x28 [保留] = 0x00000000
  0x2C [SVCall] = 0x000001BB
  0x30 [调试保留] = 0x000001BD
  0x34 [保留] = 0x00000000
  0x38 [PendSV] = 0x000001BF
  0x3C [SysTick] = 0x000001C1
--- 外部中断 0-27 ---
  0x40 IRQ0  [WDT] = 0x000001E5
  0x44 IRQ1  [TIMER0] = 0x0000029B
  0x48 IRQ2  [TIMER1] = 0x0000FF6D
  0x4C IRQ3  [TIMER2] = 0x0000FF49
  0x50 IRQ4  [TIMER3] = 0x000001C3
  0x54 IRQ5  [UART0] = 0x000001C3
  0x58 IRQ6  [UART1] = 0x000001C3
  0x5C IRQ7  [UART2] = 0x000001C3
  0x60 IRQ8  [UART3] = 0x0000AF09
  0x64 IRQ9  [PWM1] = 0x000001C3
  0x68 IRQ10 [I2C0] = 0x000001C3
  0x6C IRQ11 [I2C1] = 0x000001C3
  0x70 IRQ12 [I2C2] = 0x000001C3
  0x74 IRQ13 [SPI] = 0x000001C3
  0x78 IRQ14 [SSP0] = 0x000001C3
  0x7C IRQ15 [SSP1] = 0x000001C3
  0x80 IRQ16 [PLL0] = 0x000001C3
  0x84 IRQ17 [RTC] = 0x000001C3
  0x88 IRQ18 [EINT0] = 0x000001C3
  0x8C IRQ19 [EINT1] = 0x0000F9E9
  0x90 IRQ20 [EINT2] = 0x0000FA0B
  0x94 IRQ21 [EINT3] = 0x0000FA2D
  0x98 IRQ22 [ADC] = 0x000001C3
  0x9C IRQ23 [BOD] = 0x000001C3
  0xA0 IRQ24 [USB] = 0x000001C3
  0xA4 IRQ25 [CAN] = 0x000001C3
  0xA8 IRQ26 [DMA] = 0x000001C3
  0xAC IRQ27 [I2S] = 0x000001C3
  0xB0 IRQ28 [ENET] = 0x000001C3
  0xB4 IRQ29 [IRQ29] = 0x000001C3
  0xB8 IRQ30 [IRQ30] = 0x000001C3
  0xBC IRQ31 [IRQ31] = 0x000001C3
