0x5670 -> 0x1000177f  SRAM 0x1000177f
0x5674 -> 0x1000177d  SRAM 0x1000177d
0x5678 -> 0x10001628  SRAM 0x10001628
0x567c -> 0x10001781  SRAM 0x10001781
0x5680 -> 0x10001600  SRAM 0x10001600
0x5684 -> 0x100015fc  SRAM 0x100015fc
0x5688 -> 0x100015f8  SRAM 0x100015f8
0x568c -> 0x10001624  SRAM 0x10001624
0x5690 -> 0x10001747  SRAM 0x10001747
0x5694 -> 0x10001656  SRAM 0x10001656
0x5698 -> 0x10001655  SRAM 0x10001655
0x569c -> 0x10001785  SRAM 0x10001785
0x56a0 -> 0x1000177e  SRAM 0x1000177e
0x56a4 -> 0x10001788  SRAM 0x10001788
0x56a8 -> 0x100015a8  SRAM 0x100015a8
0x56ac -> 0x10001634  SRAM 0x10001634
0x56b0 -> 0x1000163c  SRAM 0x1000163c
0x56b4 -> 0x10001774  SRAM 0x10001774
0x56b8 -> 0x10001638  SRAM 0x10001638
0x56bc -> 0x100015d0  SRAM 0x100015d0
0x56c0 -> 0x100015b4  SRAM 0x100015b4
0x56c4 -> 0x100015d8  SRAM 0x100015d8
0x56c8 -> 0x100015d4  SRAM 0x100015d4
0x56cc -> 0x10001744  SRAM 0x10001744
0x6b78 -> 0xc5bacdd0  0xc5bacdd0 (str addr)
0x6b84 -> 0xbeb1e6b0  0xbeb1e6b0 (str addr)
0x6b94 -> 0xccc9a7b3  0xccc9a7b3 (str addr)
0x6ba4 -> 0xb0bbe7b5  0xb0bbe7b5 (str addr)
