===== entry =====
0x48b8 -> 0x10001770  SRAM 0x10001770
0x48bc -> 0x10001604  SRAM 0x10001604
0x48c0 -> 0x1000160c  SRAM 0x1000160c
0x48c4 -> 0x10001608  SRAM 0x10001608
0x48c8 -> 0x10001610  SRAM 0x10001610
0x48cc -> 0x10001614  SRAM 0x10001614
0x48d0 -> 0x10001618  SRAM 0x10001618
0x47cc -> 0x100015d8  SRAM 0x100015d8
0x48d4 -> 0x100015dc  SRAM 0x100015dc
0x47d8 -> 0x10001624  SRAM 0x10001624
0x48d8 -> 0x10001748  SRAM 0x10001748
0x48dc -> 0x10001785  SRAM 0x10001785
0x48e0 -> 0x1000177f  SRAM 0x1000177f
0x48e4 -> 0x1000177e  SRAM 0x1000177e
0x47e4 -> 0x10001628  SRAM 0x10001628
0x48e8 -> 0x10001ffc  SRAM 0x10001ffc
0x48ec -> 0x10002068  SRAM 0x10002068
0x48f0 -> 0x1000206c  SRAM 0x1000206c
0x48f4 -> 0x10002070  SRAM 0x10002070
0x4cf4 -> 0x10002000  SRAM 0x10002000
0x4cf8 -> 0x10001748  SRAM 0x10001748
0x4cfc -> 0x10001628  SRAM 0x10001628
0x4d00 -> 0x10001600  SRAM 0x10001600
0x4d04 -> 0x100015fc  SRAM 0x100015fc
0x4d08 -> 0x10001608  SRAM 0x10001608
0x4d0c -> 0x100015f8  SRAM 0x100015f8
0x4d10 -> 0x10001604  SRAM 0x10001604
0x4d14 -> 0x10001614  SRAM 0x10001614
0x4d18 -> 0x10001730  SRAM 0x10001730
0x4d1c -> 0x10001734  SRAM 0x10001734
0x4d20 -> 0x1000172c  SRAM 0x1000172c
0x4d24 -> 0x10001780  SRAM 0x10001780
0x4d28 -> 0x10001624  SRAM 0x10001624
0x4d2c -> 0x10001750  SRAM 0x10001750
0x4d30 -> 0x100020c0  SRAM 0x100020c0
0x4d34 -> 0x100016dd  SRAM 0x100016dd
0x4d38 -> 0x10001754  SRAM 0x10001754
0x4d3c -> 0x100020c1  SRAM 0x100020c1
0x4d40 -> 0x10001758  SRAM 0x10001758
0x4d44 -> 0x100020c2  SRAM 0x100020c2
0x4d48 -> 0x1000175c  SRAM 0x1000175c
===== case1 =====
0x4d4c -> 0x10001744  SRAM 0x10001744
0x4d50 -> 0x10001745  SRAM 0x10001745
0x4d54 -> 0x10001764  SRAM 0x10001764
0x4d94 -> 0x10001760  SRAM 0x10001760
0x4d98 -> 0x10001768  SRAM 0x10001768
0x4ddc -> 0x10001778  SRAM 0x10001778
0x4de0 -> 0x10001655  SRAM 0x10001655
0x4de4 -> 0x10001788  SRAM 0x10001788
0x4de8 -> 0x100015a8  SRAM 0x100015a8
0x4dec -> 0x100015d8  SRAM 0x100015d8
0x4df0 -> 0x10001590  SRAM 0x10001590
0x4df4 -> 0x10001594  SRAM 0x10001594
0x4df8 -> 0x100015cc  SRAM 0x100015cc
0x4e00 -> 0x2103220a  0x2103220a
0x4e04 -> 0x602cf2af  0x602cf2af
0x5208 -> 0x10001628  SRAM 0x10001628
0x520c -> 0x100015cc  SRAM 0x100015cc
0x5210 -> 0x10001634  SRAM 0x10001634
0x5214 -> 0x100015cd  SRAM 0x100015cd
0x5218 -> 0x1000177c  SRAM 0x1000177c
0x521c -> 0x10001624  SRAM 0x10001624
0x5220 -> 0x10001658  SRAM 0x10001658
0x5224 -> 0x1000177f  SRAM 0x1000177f
0x5228 -> 0x1000177e  SRAM 0x1000177e
0x5234 -> 0x1000161c  SRAM 0x1000161c
0x5238 -> 0x10001620  SRAM 0x10001620
0x5244 -> 0x100015cf  SRAM 0x100015cf
0x5248 -> 0x10001782  SRAM 0x10001782
0x524c -> 0x10001657  SRAM 0x10001657
0x5250 -> 0x1000177d  SRAM 0x1000177d
0x5254 -> 0x10001781  SRAM 0x10001781
0x5258 -> 0x10001747  SRAM 0x10001747
0x525c -> 0x10001785  SRAM 0x10001785
0x5260 -> 0x10001655  SRAM 0x10001655
0x5264 -> 0x10001600  SRAM 0x10001600
0x5268 -> 0x100015fc  SRAM 0x100015fc
0x526c -> 0x100015f8  SRAM 0x100015f8
0x5270 -> 0x10001656  SRAM 0x10001656
===== case1_pool1 =====
0x4e00 -> 0x2103220a  0x2103220a
0x4e04 -> 0x602cf2af  0x602cf2af
0x4e08 -> 0xff98f7fb  0xff98f7fb
0x4e0c -> 0x48fee010  PERIPH 0x48fee010
0x4e10 -> 0xb9687800  0xb9687800
0x4e14 -> 0x780048fd  0x780048fd
0x4e18 -> 0xd0092801  0xd0092801
0x4e1c -> 0x49fb2001  PERIPH 0x49fb2001
0x4e20 -> 0x23007008  0x23007008
0x4e24 -> 0x2103220a  0x2103220a
0x4e28 -> 0x6044f2af  0x6044f2af
0x4e2c -> 0xff86f7fb  0xff86f7fb
0x4e30 -> 0x780048f7  0x780048f7
0x4e34 -> 0x48f7b990  PERIPH 0x48f7b990
0x4e38 -> 0x28017800  0x28017800
0x4e3c -> 0x2001d00e  FIO 0x2001d00e
0x4e40 -> 0x700849f4  0x700849f4
0x4e44 -> 0xfbc0f00b  0xfbc0f00b
0x4e48 -> 0xf00b2000  0xf00b2000
0x4e4c -> 0x2300fbcd  0x2300fbcd
0x4e50 -> 0x2103461a  0x2103461a
0x4e54 -> 0x605cf2af  0x605cf2af
0x4e58 -> 0xff70f7fb  0xff70f7fb
0x4e5c -> 0x780048ec  0x780048ec
0x4e60 -> 0xd1132801  0xd1132801
0x4e64 -> 0x780048eb  0x780048eb
0x4e68 -> 0xd00f2802  0xd00f2802
0x4e6c -> 0x49e92002  PERIPH 0x49e92002
0x4e70 -> 0x20007008  FIO 0x20007008
0x4e74 -> 0xfba8f00b  0xfba8f00b
0x4e78 -> 0xf00b2001  0xf00b2001
0x4e7c -> 0x2300fbb5  0x2300fbb5
0x4f00 -> 0x2000e014  FIO 0x2000e014
0x4f04 -> 0x600849cc  0x600849cc
0x4f08 -> 0x48cbe004  PERIPH 0x48cbe004
0x4f0c -> 0x1c406800  0x1c406800
0x4f10 -> 0x600849c9  0x600849c9
0x4f14 -> 0x680048c8  0x680048c8
0x4f18 -> 0x6ffaf5b0  0x6ffaf5b0
0x4f1c -> 0xf7fbd3f5  0xf7fbd3f5
0x4f20 -> 0x48c4f98b  PERIPH 0x48c4f98b
0x4f24 -> 0x1c406800  0x1c406800
0x4f28 -> 0x600849c2  0x600849c2
0x4f2c -> 0x680048c1  0x680048c1
0x4f30 -> 0x31b8f640  0x31b8f640
0x4f34 -> 0xd3e44288  0xd3e44288
0x4f38 -> 0x220a2300  0x220a2300
0x4f3c -> 0xa0bf2103  0xa0bf2103
0x4f40 -> 0xfefcf7fb  0xfefcf7fb
0x4f44 -> 0xe0002000  0xe0002000
0x4f48 -> 0x49bae01f  PERIPH 0x49bae01f
0x4f4c -> 0xe0146008  0xe0146008
