0x6fe4: '5.电压限制:    V'
0x6ff8: '6.电流限制:    A'
0x700c: '7.软起时间:    S'
0x7020: '8.软停时间:    S'
0x7034: '9.相位限制:   度'
0x7048: '10主从偏移:   度'
0x705c: '11控制方式:     '
0x7070: '12启动方式:     '
0x7084: '13急停设置:     '
0x7098: '14反馈设置:     '
0x70ac: '15输入设置:     '
0x70c0: '16起始相位:   度'
0x7998: ' 通讯'
0x79a0: ' 本地'
0x79a8: ' 定值'
0x79b4: ' 点动'
0x79bc: ' 自锁'
0x7068: '    '
0x7e10: 'IF过载保护:    A'
0x7e24: 'IF过载时间:    S'
0x7e38: 'CT过载保护:    A'
0x7e4c: 'CT过载时间:    S'
0x7e60: '9.缺相保护:     '
0x7e74: '10三相平衡:    %'
0x7e6c: '    '
0x4814: '1.基本参数设置'
