===== case3 =====
0x4814 -> 0xF9BB2E31  FLASH 0xF9BB2E31
0x7974 -> 0x00000056  FLASH 0x0056
0x7978 -> 0x00006038  FLASH 0x6038
0x7980 -> 0x00000041  FLASH 0x0041
===== case4 =====
0x7E08 -> 0x00004814  FLASH 0x4814
0x7E0C -> 0x000065BC  FLASH 0x65BC
0x7E88 -> 0x00005BA4  FLASH 0x5BA4
0x8284 -> 0x10001746  SRAM 0x10001746
0x828C -> 0x10001745  SRAM 0x10001745
0x8290 -> 0x100016C4  SRAM 0x100016C4
0x8294 -> 0x100016CC  SRAM 0x100016CC
0x8298 -> 0x100016D4  SRAM 0x100016D4
0x829C -> 0x100016DC  SRAM 0x100016DC
0x82A0 -> 0x100016DD  SRAM 0x100016DD
0x82A4 -> 0x100016DE  SRAM 0x100016DE
0x82A8 -> 0x100016C0  SRAM 0x100016C0
0x82AC -> 0x1000163C  SRAM 0x1000163C
0x82B0 -> 0x100016C8  SRAM 0x100016C8
0x82B4 -> 0x100016D0  SRAM 0x100016D0
0x82B8 -> 0x10001638  SRAM 0x10001638
0x82BC -> 0x100016D8  SRAM 0x100016D8
0x82C0 -> 0x10001640  SRAM 0x10001640
0x86AC -> 0x00006038  FLASH 0x6038
0x86B0 -> 0x100016C0  SRAM 0x100016C0
0x86B4 -> 0x10001745  SRAM 0x10001745
0x86B8 -> 0x100016C4  SRAM 0x100016C4
0x86BC -> 0x100016C8  SRAM 0x100016C8
0x86C0 -> 0x100016CC  SRAM 0x100016CC
0x86C4 -> 0x100016D0  SRAM 0x100016D0
0x86C8 -> 0x100016D4  SRAM 0x100016D4
0x86CC -> 0x100016D8  SRAM 0x100016D8
0x86D0 -> 0x100016DC  SRAM 0x100016DC
0x86D4 -> 0x100016DD  SRAM 0x100016DD
0x86D8 -> 0x00006A94  FLASH 0x6A94
0x86DC -> 0x100016DE  SRAM 0x100016DE
0x86E0 -> 0x00000025  FLASH 0x0025
0x86E4 -> 0x10001778  SRAM 0x10001778
0x86E8 -> 0x10001746  SRAM 0x10001746
0x86EC -> 0x00006474  FLASH 0x6474
0x8AF4 -> 0x00006474  FLASH 0x6474
0x8AF8 -> 0x10001745  SRAM 0x10001745
0x8AFC -> 0x100016DE  SRAM 0x100016DE
0x8B00 -> 0x10001764  SRAM 0x10001764
0x8B04 -> 0x10001744  SRAM 0x10001744
0x8B08 -> 0x10001746  SRAM 0x10001746
===== caseB =====
0x9CA8 -> 0x10001745  SRAM 0x10001745
0x9CC8 -> 0x00006474  FLASH 0x6474
0xA0F8 -> 0x00006514  FLASH 0x6514
0xA0FC -> 0x100015F8  SRAM 0x100015F8
0xA100 -> 0x100015FC  SRAM 0x100015FC
0xA104 -> 0x10001604  SRAM 0x10001604
0xA108 -> 0x10001608  SRAM 0x10001608
0xA10C -> 0x10001764  SRAM 0x10001764
0xA110 -> 0x10001744  SRAM 0x10001744
===== case9 =====
0xA114 -> 0x10001745  SRAM 0x10001745
